Neighborhood,median_earnings,bachelors_degree,no_hs_degree,uninsured,population,low_income,unemployed,percent_black,child_li_nh,abbr,sc_abbr,life_expectancy,child_low_income,z_low_income,z_unemployed,z_no_hs_degree,z_uninsured,z_overall
Russell,14368.72069464544,5.198572066041946,24.341811691209283,21.718893320039882,10030,73.5935935935936,31.719336135671835,89.70155114863539,0.8517132162395624,Russell,R,69.5,85.17132162395625,1.8925739341972192,2.5523857086646515,1.40125276598896,1.3106694487107842,1.7892204643904037
Portland,17066.855714285713,3.5530191458026508,32.14285714285714,23.42798353909465,9720,62.871698897899776,22.669725136104102,32.288212239975884,0.8110850897736144,Portland,P,68.3,81.10850897736144,1.3597609794164367,1.3394981962334207,2.3519276335236574,1.6190431220359232,1.6675574828023596
Phoenix Hill-Smoketown-Shelby Park,18181.599150141643,15.889342081929419,23.40840574569959,20.577869314975736,8861,68.69100420789263,24.034401738421842,60.3112011083875,0.8401937046004843,PH,PH - S - SP,69.4,84.01937046004842,1.6489450597482525,1.5224009983027396,1.2875031949726694,1.1047928016673099,1.3909105136727429
South Central Louisville,21166.796979865772,8.797280067998301,21.518628700949144,24.11060818226545,26423,51.900989348394674,21.247905027932962,40.117025292563234,0.681842892090242,SC Louisville,SCL,71.5,68.1842892090242,0.8145834397171156,1.1489366511894656,1.057205403115971,1.7422100949493038,1.190733897242964
California-Parkland,16044.075117370892,9.520594193112762,15.935178933153274,19.46022991046756,9047,63.43763870395029,20.636894103118244,89.85554826001314,0.7609533824044865,C-P,C - P,67.8,76.09533824044865,1.3878847456767922,1.0670450073716014,0.3767779653723888,0.903135472651806,0.933710797768147
Algonquin-Park Hill-Park Duvalle,11500.787843366452,10.452549814251942,21.073961499493414,16.56624718785152,14224,60.58019128922615,18.553343170709212,77.7902176194808,0.7671232876712328,A-PH-PD,A - PH - PD,71.5,76.71232876712328,1.2458869884351225,0.787794008897294,1.0030160081866473,0.3809698942856956,0.8544167249511898
Buechel-Newburg-Indian Trail,21530.427754677756,14.158969372873115,18.139280505590666,19.251974053514626,32066,41.52654034383235,14.666289153763909,42.38008123779108,0.5647844884056072,Buechel Newburg Indian Trail,B - N - IT,75.6,56.47844884056072,0.2990364225874439,0.2668258393788684,0.64538093447409,0.8655595606934724,0.5192006892834686
Chickasaw-Shawnee,21966.3992,11.863559067720315,13.083925177553265,18.182218992248064,18576,43.677663601946996,19.792655832133306,88.69031598212844,0.581662536607344,C-S,C - S,73.4,58.1662536607344,0.4059341651771047,0.9538947231833553,0.02930975701317837,0.6725420744759366,0.5154201799623938
Downtown-Old Louisville-University,15405.206142941523,28.162881016829466,14.875838531246321,18.67764501563043,14395,52.238345168261816,13.469567815176259,31.675795433565142,0.5385214007782101,OL,D - OL - U,73.2,53.85214007782101,0.8313479721339557,0.10643349019366247,0.24768138434371229,0.7619325238436596,0.4868488426287475
Fairdale,27215.185546875,8.468421735183504,20.45130333290105,18.556831922611853,14886,37.74093543604259,12.026343510087484,0.8120260385209046,0.5537918871252204,Fairdale,F,74.8,55.379188712522044,0.11091488308359307,-0.08699678403171907,0.9271357337140052,0.7401340389746077,0.4227969679351217
South Louisville,25368.13940092166,16.67997361752352,16.738987051758254,15.266286556801852,53581,33.93487642212632,11.777030947775629,16.450618430338373,0.4695353594389246,S Louisville,SL,76.2,46.95353594389246,-0.07822310109090364,-0.12041126931011685,0.4747340895117099,0.1464160769942014,0.1056289490262227
Shively,25850.962304792676,10.900625079729558,12.673810435004466,15.245282575884623,29815,33.55761428185015,12.489914724755149,47.01229644400133,0.49774807496731077,Shively,Sh,74.5,49.77480749673108,-0.09697073491799207,-0.024865965655123057,-0.02066890045820566,0.14262629768490365,3.0174163395714493e-5
Valley Station,28326.00176159718,12.458804523424877,12.549273021001614,14.440461733731262,29151,24.4071996420828,8.632390991854336,4.19611458226638,0.36655576450166355,Valley Station,VS,76.2,36.65557645016636,-0.5516906888121368,-0.5418762951340353,-0.03584565981617937,-0.002588715950085054,-0.28300033992810913
Germantown,26278.18124341412,36.54633420171194,10.445354174420046,11.038454426381078,12979,36.230988960086464,8.82365829858955,8.132711405356604,0.42341941228851293,Germantown,G,72.5,42.34194122885129,0.035879726868327445,-0.5162414111719982,-0.2922398550781984,-0.6164179207224066,-0.34725486502606895
Highview-Okolona,30294.222567287787,22.5266498981914,9.92933285423404,11.360142533203758,61740,21.202825955717994,9.008040926624997,13.922477116058312,0.2930753564154786,Highview Okolona,H - O,77.8,29.30753564154786,-0.7109285717153823,-0.4915292564656657,-0.3551248239267372,-0.558375260329216,-0.5289894781092503
Pleasure Ridge Park,28854.422362702488,14.967499890939232,8.214457095493609,11.395778388924146,42543,21.987244837478364,9.981864054615613,12.745534146512771,0.3020724303956458,Pleasure Ridge Park,PRP,77.0,30.20724303956458,-0.6719477242030075,-0.36101116996305715,-0.5641082601704844,-0.5519454302312716,-0.5372531461419552
